"Turbine_ID","Previous_Over_current_Trips","Lubrication_Type","New_Seal","Planned_shutdowns","Average_RPM","Asset_Age_Score","Average_Vibration_Score","Torque_rating","Bearing_Weight_Score","Insulation_Rating","Fatigue_Score","Asset_Failure","Inspection_in_last_6 Months","Minor_Component_Failure_Last_6_months","Major_Component _Failure_Last_6_months","Proactive_Part_Replacement_Last_6_months","Inspection_Last_3_months","Proactive_Asset_Replacement_Last_3 months"
"1090","2","0","0","2","3763","65","183","2","30","78","6.164414","0","0","0","0","0","0","0"
"1159","0","0","0","1","5752","139","462","2","170","142","7.937254","0","0","0","0","0","1","0"
"1436","2","1","1","6","10187","376","1001","11","62","195","14.899664","1","0","0","0","0","4","0"
"1512","5","4","2","8","9636","607","1146","13","45","153","18.654758","1","0","0","0","0","3","0"
"1572","2","0","0","0","800","1","32","0","0","11","0.0","0","0","0","0","0","0","0"
"2069","0","0","0","0","3138","10","76","0","6","39","0.0","0","0","0","0","0","0","0"
"2088","0","0","0","0","2064","60","168","0","45","27","1.0","0","0","0","0","0","0","0"
"2136","0","0","0","0","4292","22","83","0","9","56","0.0","0","0","0","0","0","0","0"
"2162","0","0","0","0","1757","156","156","0","27","34","1.0","0","0","0","0","0","0","0"
"2294","0","0","0","0","1345","8","19","0","4","23","0.0","0","0","0","0","0","0","0"
"2904","2","0","1","1","5071","773","1053","7","194","74","24.33105","1","0","5","0","0","0","0"
"296","2","0","1","1","5801","114","217","2","7","87","9.219544","1","0","0","0","0","0","0"
"3210","0","0","0","0","523","25","27","0","6","7","0.0","0","0","0","0","0","0","0"
"3414","0","0","0","2","910","84","465","2","60","27","0.0","0","0","0","0","0","0","0"
"3606","0","0","1","1","1864","0","33","2","0","4","0.0","0","0","0","0","0","0","0"
"467","0","0","0","0","675","21","29","1","0","13","0.0","0","0","0","0","0","1","0"
"675","1","1","0","0","3765","344","574","0","42","60","7.549834","0","0","0","0","0","0","0"
"691","1","0","0","8","5947","567","760","10","14","79","23.643181","1","0","2","0","0","0","0"
"829","0","0","0","0","4125","154","280","0","20","63","0.0","0","0","0","0","0","0","0"
"125","1","0","1","9","2254","93","199","11","8","93","0.0","0","0","0","1","0","0","0"
"1372","1","0","0","1","6205","106","216","2","6","90","9.848858","0","0","0","0","0","1","0"
"1394","0","0","1","1","4009","2","333","2","0","82","0.0","0","0","0","0","0","0","0"
"1669","0","0","0","0","3734","39","137","0","1","35","0.0","0","0","0","0","0","0","0"
"2110","0","0","1","2","2510","41","251","3","30","80","0.0","0","0","0","0","0","0","0"
"2275","0","0","0","2","3596","92","358","2","0","97","0.0","0","0","0","0","0","0","0"
"2393","0","0","2","4","5939","0","672","6","0","103","0.0","0","0","0","0","0","0","0"
"2464","0","0","0","0","0","0","2","0","0","0","0.0","0","0","0","0","0","0","0"
"2756","0","3","4","5","3027","0","66","9","7","16","0.0","1","0","0","0","0","0","0"
"3015","6","2","3","15","5718","698","888","23","130","64","26.495283","1","0","1","0","0","3","0"
"3281","0","0","0","0","2379","0","176","0","0","47","0.0","0","0","0","0","0","0","0"
"3368","0","0","3","3","1495","195","204","6","86","25","0.0","0","0","0","0","0","0","0"
"3441","0","0","0","0","1573","0","312","0","0","49","0.0","0","0","0","0","0","0","0"
"3517","2","0","0","0","2998","207","346","0","161","61","0.0","1","0","0","0","0","0","0"
"3650","0","3","0","1","4131","124","459","1","22","69","0.0","0","0","0","0","0","0","0"
"451","1","0","0","0","958","30","43","0","3","12","0.0","0","0","0","0","0","0","0"
"800","0","0","1","1","4602","68","286","2","4","114","6.63325","0","0","0","0","0","0","0"
"853","1","0","0","1","5061","284","571","1","28","31","0.0","1","0","0","0","0","0","0"
"944","0","0","0","1","1917","0","547","1","0","26","0.0","0","0","0","0","0","0","0"
"1241","1","0","0","1","5105","125","540","1","65","121","0.0","0","0","0","0","0","0","0"
"1265","0","0","0","0","1393","15","22","0","2","16","3.605551","1","0","0","0","0","0","0"
"1280","0","0","0","1","5812","337","532","1","61","98","15.033296","1","0","0","0","0","0","0"
"1361","2","0","2","6","11104","1227","1492","10","117","196","31.843367","1","0","0","0","0","1","0"
"1746","0","0","1","1","3186","192","237","2","132","62","5.291503","1","0","0","0","0","0","0"
"1808","1","0","0","1","910","116","180","1","85","14","8.485281","1","0","0","0","0","0","0"
"1870","0","0","1","2","8295","103","467","3","57","131","9.380832","0","0","0","0","0","0","0"
"2530","0","0","1","2","4695","10","215","3","1","81","0.0","0","0","0","0","0","0","0"
"2696","0","0","0","1","1421","0","23","1","0","13","0.0","1","0","0","0","0","0","0"
"2700","0","0","2","2","2961","133","231","6","21","52","0.0","0","0","0","1","0","1","0"
"2725","0","0","0","0","4841","13","47","0","0","14","0.0","0","0","0","0","0","0","0"
"2898","0","0","0","0","2140","43","268","0","24","22","5.0","0","0","0","0","0","0","0"
"2917","2","0","2","9","6062","753","890","11","235","74","24.103942","1","0","0","0","0","0","0"
"3200","3","0","0","1","3475","261","355","1","187","57","8.185353","1","0","0","0","0","0","0"
"3526","1","0","3","2","5377","77","308","6","76","119","0.0","0","0","0","0","0","1","0"
"666","1","0","2","2","4553","97","215","4","11","92","9.433981","1","0","0","0","0","0","0"
"870","0","0","2","1","2046","97","235","3","26","44","0.0","1","0","0","0","0","0","0"
"919","0","0","1","1","503","24","37","2","12","9","0.0","0","0","0","0","0","0","0"
"926","0","0","1","1","1540","20","29","2","11","24","0.0","0","0","0","0","0","0","0"
"124","0","0","1","4","2254","93","199","10","8","93","0.0","1","0","1","3","0","1","0"
"1528","2","0","2","6","7189","466","985","8","43","144","12.041595","1","0","0","0","1","0","0"
"1903","0","0","2","3","3168","0","402","5","0","86","0.0","0","0","0","0","0","0","0"
"1953","0","0","0","0","5995","75","311","0","8","142","0.0","0","0","0","0","0","0","0"
"2034","0","0","0","1","7078","2","416","2","0","175","1.414214","0","1","0","0","0","1","0"
"2550","1","0","1","5","4466","403","701","6","61","100","0.0","0","0","0","0","0","0","0"
"2888","8","0","6","16","4800","929","1123","28","505","54","30.789609","1","0","1","3","0","2","0"
"2895","0","0","0","0","2951","94","408","0","17","37","7.483315","1","0","0","0","0","0","0"
"2930","0","0","0","4","2767","168","173","4","115","32","12.845233","1","0","0","0","0","0","0"
"3121","0","0","2","4","5003","585","810","10","169","85","19.723083","1","0","3","0","0","1","0"
"3249","0","0","7","11","4345","153","343","19","37","78","0.0","1","0","0","0","0","0","0"
"3266","0","0","1","2","7568","123","462","3","168","128","0.0","0","0","0","0","0","0","0"
"3312","3","0","2","8","6342","387","748","11","103","131","15.937377","1","0","1","0","0","0","0"
"3652","0","0","0","0","572","8","28","0","0","4","0.0","0","0","0","0","0","0","0"
"447","0","0","0","1","1576","0","92","1","7","22","0.0","0","0","0","0","0","0","0"
"51","0","0","0","0","7201","0","334","0","62","69","0.0","1","0","0","0","0","0","0"
"591","0","0","0","1","3702","51","310","2","23","72","0.0","0","0","0","0","0","1","0"
"7","0","0","0","5","4135","0","454","6","0","89","0.0","0","0","1","0","0","0","0"
"1445","1","0","1","1","6568","108","285","2","21","71","1.414214","0","0","0","0","0","0","0"
"1500","0","0","0","0","2076","63","127","0","0","38","0.0","1","0","0","0","0","0","0"
"1695","5","0","5","4","9355","830","952","9","376","141","21.794495","1","0","0","0","0","0","0"
"1773","0","0","0","0","3191","7","143","0","0","42","0.0","0","0","0","0","0","0","0"
"1897","0","0","1","2","5382","75","185","4","29","101","0.0","0","0","0","0","0","1","0"
"1957","0","0","0","3","5029","129","372","4","127","94","11.313708","0","0","0","1","0","0","0"
"2161","0","0","0","3","1929","0","24","3","0","20","0.0","0","0","0","0","0","0","0"
"3057","2","0","1","5","5792","373","946","9","204","78","19.209373","1","0","0","1","0","2","0"
"307","0","0","0","0","0","0","7","1","0","0","0.0","0","0","0","1","0","0","0"
"3167","0","0","0","0","3787","238","396","0","229","89","11.874342","0","0","0","0","0","0","0"
"3491","1","0","5","9","3718","328","471","14","143","55","10.0","1","0","0","0","0","0","0"
"475","7","0","2","5","3717","470","655","14","72","61","19.748418","1","0","0","2","0","2","0"
"574","0","0","0","1","1149","2","37","1","0","15","0.0","1","0","0","0","0","0","0"
"613","0","0","1","2","3115","236","400","3","66","66","0.0","0","0","0","0","0","0","0"
"718","0","1","0","0","2453","45","79","0","25","44","1.732051","0","0","0","0","0","0","0"
"1043","3","0","3","8","5990","448","758","12","113","127","17.663522","1","0","0","0","0","0","0"
"1425","0","0","0","0","3521","22","81","0","2","68","2.44949","0","0","0","0","0","0","0"
"169","1","0","0","0","328","0","48","0","3","6","0.0","0","0","0","0","0","0","0"
"1706","2","0","0","2","3896","256","435","2","148","75","11.269428","1","0","0","0","0","0","0"
"1880","0","0","5","5","5047","159","446","10","49","102","10.723805","0","0","0","0","0","0","0"
"1987","0","0","0","0","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0"
"205","0","0","0","0","713","35","90","0","4","10","4.690416","0","0","0","0","0","0","0"
"2129","0","0","0","0","3400","0","112","0","0","56","0.0","0","0","0","0","0","0","0"
"2402","1","0","0","0","4374","117","187","0","9","63","1.0","1","0","0","0","0","0","0"
"2477","0","0","0","1","5519","128","257","1","47","86","0.0","0","0","0","0","0","0","0"
"2495","2","1","5","11","5878","0","260","16","89","92","0.0","0","0","0","0","0","0","0"
"2644","0","0","1","1","569","54","114","3","0","4","0.0","0","0","0","0","0","1","0"
"2789","0","0","0","2","2384","17","57","2","0","17","0.0","0","0","0","0","0","0","0"
"2808","0","0","0","0","5132","0","477","0","0","129","0.0","1","0","0","0","0","0","0"
"2915","2","0","4","10","5414","1148","1268","32","291","65","29.257478","1","0","13","0","0","4","0"
"3179","2","0","4","5","4390","903","970","9","208","65","28.213472","1","0","0","0","0","0","0"
"3241","0","0","2","2","5427","123","229","4","25","134","0.0","0","0","0","0","0","0","0"
"3299","0","0","2","3","6661","212","280","5","99","152","0.0","1","0","0","0","0","0","0"
"334","2","0","0","3","3803","443","671","3","101","86","0.0","0","0","0","0","0","0","0"
